date,ABEV3
2021-07-07,17.77
2021-07-06,17.55
2021-07-05,17.94
2021-07-02,17.43
2021-07-01,17.2
2021-06-30,17.07
2021-06-29,17.29
2021-06-28,17.5
2021-06-25,16.95
2021-06-24,17.95
2021-06-23,17.99
2021-06-22,18.29
2021-06-21,18.73
2021-06-18,18.76
2021-06-17,19.01
2021-06-16,19.09
2021-06-15,19.13
2021-06-14,19.48
2021-06-11,18.94
2021-06-10,19.32
2021-06-09,19.31
2021-06-08,19.59
2021-06-07,19.6
2021-06-04,19.38
2021-06-02,19.37
2021-06-01,18.77
2021-05-31,17.95
2021-05-28,17.85
2021-05-27,17.69
2021-05-26,17.47
2021-05-25,17.61
2021-05-24,17.63
2021-05-21,17.61
2021-05-20,17.54
2021-05-19,17.56
2021-05-18,17.42
2021-05-17,17.4
2021-05-14,17.18
2021-05-13,16.88
2021-05-12,16.87
2021-05-11,16.87
2021-05-10,16.5
2021-05-07,16.21
2021-05-06,16.18
2021-05-05,14.86
2021-05-04,14.64
2021-05-03,14.8
2021-04-30,14.94
2021-04-29,15.26
2021-04-28,15.21
2021-04-27,15.29
2021-04-26,15.59
2021-04-23,15.85
2021-04-22,15.9
2021-04-20,15.62
2021-04-19,15.73
2021-04-16,15.8
2021-04-15,15.87
2021-04-14,15.81
2021-04-13,15.63
2021-04-12,15.51
2021-04-09,15.36
2021-04-08,15.45
2021-04-07,15.22
2021-04-06,15.39
2021-04-05,15.27
2021-04-01,15.0
2021-03-31,15.29
2021-03-30,15.59
2021-03-29,15.3
2021-03-26,15.15
2021-03-25,14.99
2021-03-24,14.8
2021-03-23,15.08
2021-03-22,15.54
2021-03-19,15.49
2021-03-18,15.3
2021-03-17,15.42
2021-03-16,15.05
2021-03-15,15.3
2021-03-12,15.03
2021-03-11,15.09
2021-03-10,15.27
2021-03-09,15.16
2021-03-08,14.69
2021-03-05,15.08
2021-03-04,14.78
2021-03-03,14.17
2021-03-02,13.99
2021-03-01,13.77
2021-02-26,14.02
2021-02-25,14.17
2021-02-24,14.68
2021-02-23,14.69
2021-02-22,14.58
2021-02-19,14.89
2021-02-18,14.79
2021-02-17,15.27
2021-02-12,14.79
2021-02-11,14.95
2021-02-10,15.01
2021-02-09,14.96
2021-02-08,14.94
2021-02-05,15.52
2021-02-04,15.6
2021-02-03,15.68
2021-02-02,15.61
2021-02-01,15.6
2021-01-29,15.11
2021-01-28,15.54
2021-01-27,15.39
2021-01-26,15.4
2021-01-22,15.15
2021-01-21,15.61
2021-01-20,16.02
2021-01-19,16.27
2021-01-18,16.22
2021-01-15,15.95
2021-01-14,16.26
2021-01-13,16.17
2021-01-12,16.8
2021-01-11,16.1
2021-01-08,16.53
2021-01-07,16.05
2021-01-06,16.05
2021-01-05,15.81
2021-01-04,15.48
2020-12-30,15.65
2020-12-29,15.95
2020-12-28,15.77
2020-12-23,15.5
2020-12-22,15.51
2020-12-21,15.42
2020-12-18,15.86
2020-12-17,16.06
2020-12-16,15.82
2020-12-15,15.56
2020-12-14,15.32
2020-12-11,15.5
2020-12-10,15.69
2020-12-09,15.26
2020-12-08,15.05
2020-12-07,14.97
2020-12-04,14.74
2020-12-03,14.7
2020-12-02,14.88
2020-12-01,14.68
2020-11-30,13.98
2020-11-27,14.32
2020-11-26,14.42
2020-11-25,14.49
2020-11-24,14.75
2020-11-23,14.66
2020-11-20,14.4
2020-11-19,14.73
2020-11-18,14.84
2020-11-17,15.46
2020-11-16,15.36
2020-11-13,15.11
2020-11-12,14.62
2020-11-11,14.9
2020-11-10,15.21
2020-11-09,14.22
2020-11-06,13.25
2020-11-05,13.33
2020-11-04,12.82
2020-11-03,12.78
2020-10-30,12.18
2020-10-29,12.89
2020-10-28,13.37
2020-10-27,13.72
2020-10-26,14.2
2020-10-23,13.89
2020-10-22,13.57
2020-10-21,13.37
2020-10-20,13.38
2020-10-19,13.15
2020-10-16,13.27
2020-10-15,13.44
2020-10-14,13.8
2020-10-13,13.75
2020-10-09,13.57
2020-10-08,13.68
2020-10-07,13.53
2020-10-06,13.34
2020-10-05,12.81
2020-10-02,12.53
2020-10-01,12.7
2020-09-30,12.54
2020-09-29,12.35
2020-09-28,12.48
2020-09-25,12.84
2020-09-24,12.67
2020-09-23,12.44
2020-09-22,12.8
2020-09-21,12.73
2020-09-18,12.79
2020-09-17,13.16
2020-09-16,12.56
2020-09-15,12.89
2020-09-14,12.57
